id,Price,Rating_avg,Acidity,Intensity,Sweetness,Tannin,vintage.year,price_category
155570752,1.7696289056844126,3.9,2.099231,3.8680003,1.926923,3.659692,2016.0,low
168256773,1.55,3.7,3.9838462,3.5638463,1.2019231,3.8626924,2019.0,low
160175135,1.7,3.7,4.4061933,1.8816129,1.0326451,2.282349,2018.0,low
156330453,2.99,2.9,2.7257192,4.0490484,1.551665,3.5077238,2018.0,low
166820785,2.93,3.7,2.9351792,3.539733,1.9377575,3.0864458,2020.0,low
167103655,2.76,3.2,3.1375225,3.6233728,1.9193594,2.9786577,2021.0,low
113068557,2.75,3.4,3.1627638,4.142613,1.4147235,3.6312308,2016.0,low
171517168,3.95,3.4,3.0372224,4.3088512,2.224889,2.9431112,2021.0,low
143981350,3.95,3.3,3.1734045,3.5960639,1.4053458,2.472686,2016.0,low
167300447,3.99,3.5,3.2889109,4.158218,1.0629703,3.4001982,2020.0,low
156667763,3.99,3.4,2.7538826,4.2344704,1.5034051,3.5590584,2018.0,low
2273570,3.99,3.3,2.5992472,4.2669463,1.4423333,3.4903226,2013.0,low
162838631,3.11,3.6,4.490526,1.135,1.2202631,1.8626316,2019.0,low
156403201,4.0,3.5,3.1306105,3.1824427,1.0808779,2.5735497,2018.0,low
147793210,3.13,3.3,3.0530002,3.5231538,1.9372307,3.0,2016.0,low
164189760,3.83,3.6,2.9806888,3.6632874,2.3115945,2.8353934,2020.0,low
160210414,3.83,3.6,2.9806888,3.6632874,2.3115945,2.8353934,2019.0,low
169518123,3.72,3.4,3.006707,3.6538584,1.9665779,2.8648264,2021.0,low
159494687,3.93,3.4,2.7336905,2.7445238,2.857024,2.4915476,2018.0,low
160079387,3.47,3.5,2.9512312,3.482215,2.1719527,2.7980964,2019.0,low
171252826,3.99,3.5,3.2330263,4.4755263,1.5026315,2.9907894,2021.0,low
168534941,3.69,3.4,2.7418046,3.0202124,2.6044798,2.6515925,2021.0,low
152119827,3.9,3.4,2.847609,3.6615405,1.661931,3.2619712,2017.0,low
148744444,3.7,3.4,3.066375,3.384229,2.3144794,3.032,2016.0,low
127416214,3.14,3.4,3.2343426,4.323265,1.7772738,3.1268537,2015.0,low
75619965,3.57,3.7,2.8524408,4.0088873,1.9936038,2.9488924,2015.0,low
156469072,3.79,3.4,2.9857516,3.849455,1.9398879,3.26976,2018.0,low
156234290,3.29,3.4,3.085323,3.2418165,2.0623565,2.914968,2018.0,low
152414516,3.35,3.4,3.0792325,4.0887456,1.3131061,3.5350428,2017.0,low
159665880,3.75,3.7,3.0576348,4.245124,1.9518546,3.4058614,2019.0,low
163877972,3.62,3.2,2.9107735,3.8879125,1.6856186,3.3660564,2020.0,low
159533048,3.98,3.6,3.0537899,3.947399,1.8362908,2.9490154,2019.0,low
155225722,3.95,3.5,2.0,4.5608196,2.0245903,2.9500003,2016.0,low
165400112,3.8,3.4,3.1645339,3.4485168,2.613093,2.9624152,2020.0,low
