id,Price,Rating_avg,Acidity,Intensity,Sweetness,vintage.year,price_category
160260117,1.1,3.8,4.514356,3.3633437,1.7439878,2018.0,low
157083334,1.1,4.1,3.7004797,3.3484414,1.6779376,2017.0,low
164406100,1.5,3.9,3.8702252,3.2021346,1.5208988,2019.0,low
168118902,1.0333333333333332,3.6,4.28808,2.637101,1.7776102,2021.0,low
168432277,1.35,3.8,1.985,3.9374073,2.9442592,2020.0,low
160399172,2.066666666666667,3.5,3.5,2.5,2.0,2018.0,low
159071594,2.99,3.4,3.4037423,2.0455601,2.0497675,2018.0,low
150649599,2.97,3.9,4.2927275,1.6081406,1.3367769,2016.0,low
167356973,2.66,3.1,2.6721025,2.9469771,1.6730059,2021.0,low
162933166,3.49,3.3,2.723286,3.005082,1.8182039,2020.0,low
168038427,3.49,3.6,3.935613,1.8463238,2.0446746,2021.0,low
145497728,3.89,3.5,3.1713684,4.212421,1.4642106,2015.0,low
156998530,3.99,3.7,4.0141273,1.5032271,1.6351386,2018.0,low
164015452,3.69,3.9,4.218127,2.7144945,2.525171,2020.0,low
151382666,3.13,3.4,2.1972413,2.9013793,1.2896551,2017.0,low
166325079,3.67,3.6,2.426619,2.5927508,2.521547,2020.0,low
160915724,3.17,3.4,2.6512253,3.0221653,1.4079771,2018.0,low
150628860,4.0,3.6,2.8279016,2.9026413,1.6083002,2017.0,low
167287639,3.69,3.6,4.8082857,2.918104,1.4222598,2020.0,low
164410443,3.99,3.8,2.592386,3.4370437,1.5695227,2020.0,low
164256845,3.95,3.4,4.1532536,2.5203319,1.3856574,2020.0,low
159758475,3.48,3.5,2.5917513,2.869785,1.987487,2018.0,low
151584208,3.3,3.2,2.6284015,3.0402734,1.9758674,2017.0,low
167374109,3.99,3.4,3.509422,2.9256809,2.2754195,2021.0,low
159435429,4.0,3.4,3.4413111,2.1028788,2.204652,2019.0,low
156154319,3.99,3.4,3.3847883,2.2891366,2.2202983,2018.0,low
167538798,3.99,3.6,3.3134153,3.2790294,2.3438618,2020.0,low
158710319,3.11,3.6,2.7886713,3.2090209,1.537972,2018.0,low
170166356,3.99,3.7,2.6473625,2.3094492,2.202319,2021.0,low
2050072,3.5,3.2,4.067037,3.045185,1.0485597,2012.0,low
156962867,3.74,3.7,3.8323936,2.897205,1.3177278,2017.0,low
167359651,3.15,3.6,2.7705734,2.7858918,1.5967835,2020.0,low
158257747,3.29,3.4,2.8578746,2.7010338,1.7240399,2018.0,low
167966419,3.69,3.7,3.1391358,2.6910698,2.0809467,2021.0,low
164659008,3.99,3.8,3.1947253,2.9752748,1.415868,2020.0,low
163136478,3.99,3.7,4.499969,2.8931227,2.5594625,2020.0,low
152420209,3.57,3.5,2.5324924,2.822097,1.529091,2017.0,low
163093522,3.47,3.4,2.7600944,2.809937,1.4794968,2020.0,low
160829755,3.24,3.6,2.4466221,2.8683112,1.3969778,2018.0,low
153207846,3.13,3.5,2.2226562,2.9128125,1.0,2016.0,low
163276822,4.2,3.2,3.8542128,2.78374,1.101693,2020.0,low
160671606,4.25,3.1,2.6721025,2.9469771,1.6730059,2019.0,low
164157015,4.29,3.2,2.8055434,2.8286645,1.780419,2020.0,low
167591680,4.29,3.4,3.8828483,2.8701038,2.1861508,2021.0,low
167594345,4.39,3.6,4.174411,1.6167204,1.565401,2021.0,low
148995287,4.49,3.4,3.0,3.5,1.5,2016.0,low
164285309,4.5,3.3,2.5376,2.3133714,2.0558858,2020.0,low
168191705,4.73,3.7,2.598003,3.6158574,1.7949494,2021.0,low
163053346,4.75,3.4,3.7622447,2.7706952,1.4255779,2020.0,low
164103265,4.75,3.3,1.9604859,3.8533084,2.976542,2020.0,low
163173813,4.75,3.7,2.84534,2.793151,1.7587397,2020.0,low
160541486,4.89,3.8,4.1278033,1.5575453,1.3832042,2018.0,low
164626515,4.89,3.5,2.5517094,3.5864103,1.2870085,2019.0,low
159363702,4.89,3.4,3.448266,3.707863,2.0004032,2019.0,low
164144497,4.89,3.4,2.3617616,2.2863214,2.157254,2020.0,low
163189870,4.89,3.4,3.190732,2.9731462,1.299561,2020.0,low
160317332,4.89,3.2,2.0281456,3.7680101,2.9589076,2019.0,low
170567296,4.9,3.5,3.6266422,2.5013285,1.3595941,2021.0,low
167272077,4.9,3.6,4.22423,1.7028778,1.4802238,2021.0,low
168871566,4.9,3.6,2.7494686,3.7545755,1.3906963,2021.0,low
163222876,4.9,3.3,3.9336255,2.4659486,1.4091502,2020.0,low
168171245,4.9,3.8,2.993941,2.813399,1.8296059,2021.0,low
14028848,4.9,3.6,3.0442283,2.8942807,1.2575965,2014.0,low
167736621,4.9,3.7,2.898686,2.8175836,1.9435817,2021.0,low
167487696,4.9,3.3,3.263077,2.9920514,1.2046154,2020.0,low
171113716,4.9,3.5,3.2579858,4.1957555,1.7914388,2021.0,low
168175790,4.9,3.8,2.780113,4.00322,3.1856496,2020.0,low
161693285,4.95,3.1,3.3006196,2.0639954,2.2885418,2019.0,low
169803769,4.95,3.3,3.50403,3.706242,1.8488836,2021.0,low
152613489,4.95,3.5,3.505526,4.394737,2.0619736,2016.0,low
164495666,4.95,3.8,4.3588896,1.7214952,1.4274089,2020.0,low
163591783,4.95,3.5,2.77,3.223356,2.2120545,2020.0,low
161881916,4.95,3.5,2.8681936,2.7075484,1.5832257,2019.0,low
164124332,4.95,3.1,4.093974,2.421512,1.7522031,2019.0,low
168157223,4.95,3.6,2.6174526,3.0921974,1.6995727,2021.0,low
168511581,4.97,2.9,2.855182,3.153,1.2423637,2020.0,low
164028003,4.98,3.1,3.3006196,2.0639954,2.2885418,2020.0,low
167786606,4.98,3.5,3.7698536,3.0066545,1.7847348,2020.0,low
162430982,4.99,3.4,3.3063552,3.7516353,2.021916,2019.0,low
159824660,4.99,3.7,3.3091345,2.8098717,2.3033333,2018.0,low
167714574,4.99,4.0,4.122117,1.6538821,1.6988188,2021.0,low
164093747,4.99,3.5,1.3227273,3.6733334,3.029697,2019.0,low
165898120,5.0,3.7,4.2173643,2.5655956,1.7035741,2020.0,low
159797942,5.0,3.5,3.1904888,2.873111,1.7938223,2018.0,low
162492552,4.99,3.3,2.7838464,4.351346,2.491923,2019.0,low
164195021,4.25,3.6,3.153125,2.40875,1.3025,2019.0,low
160157686,4.95,3.3,3.2963636,3.5640907,1.9200001,2018.0,low
160313656,4.95,3.7,4.2588305,1.6116102,1.8213391,2019.0,low
165619170,4.95,3.4,2.2335088,3.6983042,1.4132749,2020.0,low
152078139,4.95,3.4,3.4616058,4.166825,1.529854,2016.0,low
163929134,4.61,3.5,3.748587,3.051449,1.4824638,2019.0,low
152207195,4.79,3.4,3.136958,3.526408,2.1672657,2017.0,low
156196053,4.29,3.5,3.1977828,3.4031262,2.125026,2018.0,low
